States/UTs,2009,2010,2011
Andhra Pradesh,4537,4537,4537
Arunachal Pradesh,1992,1992,1992
Assam,2836,2836,2836
Bihar,3642,3642,3642
Chhattisgarh,2184,2184,2184
Goa,269,269,269
Gujarat,3245,3245,3245
Haryana,1512,1518,1518
Himachal Pradesh,1409,1409,1409
Jammu and Kashmir,1245,1245,1245
Jharkhand,1805,1805,1805
Karnataka,4396,4396,4396
Kerala,1457,1457,1457
Madhya Pradesh,4670,5027,5027
Maharashtra,4176,4191,4191
Manipur,959,959,959
Meghalaya,810,810,810
Mizoram,927,927,927
Nagaland,494,494,494
Odisha,3704,3704,3704
Punjab,1557,1557,1557
Rajasthan,5585,5585,5585
Sikkim,62,62,62
Tamil Nadu,4832,4832,4832
Tripura,400,400,400
Uttarakhand,2042,2042,2042
Uttar Pradesh,6774,6774,6774
West Bengal,2578,2578,2578
Andaman and Nicobar Islands,300,300,300
Chandigarh,24,24,24
Delhi,72,80,80
Puducherry,53,53,53
All INDIA,70548,70934,70934
